req_id,module,requirement_description,business_ref,software_ref,design_ref,code_ref,test_case,implementation_status,notes
NFR-SEC-002,Security,Rate limiting (60 req/min per IP),D02 §7,D03 §8.1,D11 §8,"app/Http/Middleware/ThrottleRequests.php, routes/web.php","tests/Feature/Security/RateLimitTest.php",completed,Applied to guest forms; returns 429 on exceed
NFR-SEC-003,Security,reCAPTCHA Enterprise on guest forms,D02 §7,D03 §8.1,D11 §8,"app/Services/RecaptchaService.php, resources/views/livewire/*","tests/Feature/Security/RecaptchaTest.php",completed,Invisible reCAPTCHA with score threshold
NFR-SEC-004,Security,File upload virus scanning (ClamAV),D02 §7,D03 §8.1,D11 §8,"app/Services/FileUploadService.php","tests/Feature/Security/VirusScanTest.php",completed,Scanned before storage; quarantine on detection
NFR-SEC-005,Security,Cryptographically signed approval links,D02 §7,D03 §8.1,D11 §8,"app/Services/DualApprovalService.php, routes/web.php [signed]","tests/Feature/Security/SignedRouteTest.php",completed,Laravel signed URL + custom JWT token
NFR-SEC-006,Security,AES-256 encryption for sensitive data,D02 §7,D03 §8.1,D11 §8,"app/Models/Traits/EncryptsAttributes.php, config/app.php","tests/Feature/Security/EncryptionTest.php",completed,Encrypted: phone|email|2FA secrets
NFR-ACCESS-001,Accessibility,WCAG 2.2 AA compliance,D02 §7,D03 §8.4,D12 §4,"resources/views/*, resources/js/accessibility-enhancements.js","tests/E2E/Accessibility/WcagTest.spec.ts",completed,Axe-core automated testing; manual NVDA validation
NFR-ACCESS-002,Accessibility,Full keyboard navigation support,D02 §7,D03 §8.4,D12 §4,"resources/js/keyboard-navigation.js, resources/views/*","tests/E2E/Accessibility/KeyboardTest.spec.ts",completed,Tab order|focus indicators|skip links implemented
NFR-ACCESS-003,Accessibility,Screen reader compatibility,D02 §7,D03 §8.4,D12 §4,"resources/views/* [ARIA labels], resources/js/accessibility-enhancements.js","tests/E2E/Accessibility/ScreenReaderTest.spec.ts",completed,NVDA|JAWS compatible; semantic HTML + ARIA
NFR-I18N-001,Localization,Bilingual support (MS primary + EN),D02 §7,D03 §8.4,D15 §2,"resources/lang/ms/*, resources/lang/en/*, app/Http/Middleware/SetLocale.php","tests/Feature/Localization/TranslationTest.php",completed,100% translation coverage; 150+ keys
NFR-I18N-002,Localization,Auto-detect browser language,D02 §7,D03 §8.4,D15 §2,"app/Http/Middleware/SetLocale.php, config/app.php","tests/Feature/Localization/DetectionTest.php",completed,Cookie-based persistence; fallback to MS
NFR-AUDIT-001,Audit,Spatie activity log integration,D02 §7,D03 §5.5,D09 §9,"config/activitylog.php, app/Models/* [LogsActivity trait]","tests/Feature/Audit/ActivityLogTest.php",completed,Polymorphic audit trail for all models
NFR-AUDIT-002,Audit,7-year audit log retention,D02 §7,D03 §8.5,D09 §9,"config/audit.php, database/migrations/*_create_activity_log_table.php","tests/Feature/Audit/RetentionTest.php",completed,PDPA + Arkib Negara compliance
NFR-BACKUP-001,Backup,Daily MySQL backup (30-day retention),D02 §7,D03 §8.5,D11 §13,"scripts/backup-database.sh, cron schedule",N/A,completed,Automated via cron; tested bi-annually
NFR-BACKUP-002,Backup,Daily S3 attachment backup,D02 §7,D03 §8.5,D11 §13,"scripts/backup-files.sh, cron schedule",N/A,completed,Secondary storage replication
NFR-MONITOR-001,Monitoring,Sentry error tracking,D02 §7,D03 §8.5,D11 §7,"config/sentry.php, bootstrap/app.php",N/A,completed,Real-time error alerts to dev team
NFR-MONITOR-002,Monitoring,Prometheus + Grafana metrics,D02 §7,D03 §8.5,D11 §7,"config/prometheus.php, docker-compose.yml",N/A,completed,Custom SLA tracking metrics
NFR-MONITOR-003,Monitoring,SIEM log aggregation (15-min batch),D02 §7,D03 §8.5,D11 §7,"config/logging.php, app/Services/SiemExportService.php",N/A,completed,Centralized logging to BPM SIEM
TEST-UNIT-001,Testing,PHPUnit unit tests (80%+ coverage),D02 §9,D03 §10,D10 §7,"tests/Unit/*, phpunit.xml",N/A,completed,Models|services|helpers unit tested
TEST-FEAT-001,Testing,PHPUnit feature tests (critical paths),D02 §9,D03 §10,D10 §7,"tests/Feature/*, phpunit.xml",N/A,completed,All workflows covered
TEST-E2E-001,Testing,Playwright end-to-end tests,D02 §9,D03 §10,D10 §7,"tests/e2e/*, playwright.config.ts",N/A,completed,Guest flows + admin workflows
TEST-ACCESS-001,Testing,Axe-core accessibility tests,D02 §9,D03 §10,D12 §4,"tests/e2e/accessibility/*, .github/workflows/accessibility.yml",N/A,completed,WCAG 2.2 AA automated validation
QUAL-FORMAT-001,Code Quality,PSR-12 compliance via Laravel Pint,D02 §9,D03 §10,D10 §5,"vendor/bin/pint, pint.json, .github/workflows/code-quality.yml",N/A,completed,Automated in CI/CD pipeline
QUAL-STATIC-001,Code Quality,Larastan level 9 static analysis,D02 §9,D03 §10,D10 §5,"vendor/bin/phpstan, phpstan.neon, .github/workflows/code-quality.yml",N/A,completed,Type safety enforcement
QUAL-METRICS-001,Code Quality,PHPInsights quality scoring,D02 §9,D03 §10,D10 §5,"vendor/bin/phpinsights, config/insights.php",N/A,completed,Architecture + complexity analysis
DEPLOY-DOCKER-001,Deployment,Docker Compose containerization,D02 §9,D03 §10,D11 §2,"docker-compose.yml, Dockerfile, .dockerignore",N/A,completed,Nginx + PHP-FPM + MySQL + Redis
DEPLOY-ENV-001,Deployment,Environment-specific configuration,D02 §9,D03 §10,D11 §2,"config/*, .env.example, .env.production",N/A,completed,Separate configs for dev|staging|prod
MCP-SERVER-001,MCP Integration,Laravel MCP server for AI agents,D02 §9,D03 §11,D08 §7,"app/Mcp/Servers/ICTServeServer.php, routes/ai.php","tests/Feature/Mcp/ServerTest.php",completed,Registered as 'ictserve' local server
MCP-TOOLS-001,MCP Integration,Query tools for helpdesk & loan data,D02 §9,D03 §11,D08 §7,"app/Mcp/Tools/*, app/Mcp/Servers/ICTServeServer.php","tests/Feature/Mcp/ToolsTest.php",completed,Real-time data access via MCP protocol
